data_prev,Tx_Mod,P90cl_Tx_Mod,Tx_Obs,P90cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20191118,32.08737,31.21523,23.65439,32.42886,1,0,0,0
20191119,30.67618,31.21746,23.75314,30.48514,0,0,0,0
20191120,28.50738,30.502,24.06677,30.51505,0,0,0,0
20191121,30.67239,29.38523,26.86551,30.41208,1,0,0,0
20191122,31.57687,31.82162,29.44684,32.47794,0,0,0,0
20191123,24.56278,32.28058,29.05005,30.41776,0,0,0,0
20191124,25.19339,31.33324,23.10971,26.7998,0,0,0,0
20191125,25.83054,29.71567,23.8176,29.03455,0,0,0,0
20191126,26.08029,28.50792,25.41244,29.98764,0,0,0,0
20191127,27.10629,31.3216,29.59964,29.71011,0,0,0,0
20191128,24.34183,31.45726,24.21646,30.43436,0,0,0,0
20191129,28.29813,32.74563,23.23929,30.60831,0,0,0,0
20191130,29.14243,31.71116,26.55081,30.54123,0,0,0,0
20201101,29.50211,33.4183,21.71732,29.93808,0,0,0,0
20201102,31.74857,31.44449,22.48825,29.56668,1,0,0,0
20201103,26.14792,31.84183,23.74222,31.04578,0,0,0,0
20201104,28.54489,31.14221,23.55045,31.09802,0,0,0,0
20201105,30.55637,30.55637,22.86292,29.25061,1,0,0,0
20201106,26.37796,29.3045,23.39615,26.00964,0,0,0,0
20201107,23.2468,30.82645,24.14468,27.4968,0,0,0,0
20201108,20.29532,31.51755,24.79904,28.68063,0,0,0,0
20201109,20.37686,30.35251,26.25888,29.55286,0,0,0,0
20201110,22.81357,30.67996,25.39548,30.86642,0,0,0,0
20201111,23.17014,30.06638,25.77866,31.76419,0,0,0,0
20201112,23.96579,30.17719,26.64499,33.8436,0,0,0,0
20201113,22.8511,28.76901,26.23117,30.9917,0,0,0,0
20201101,31.25821,33.47324,21.71732,29.93808,0,0,0,0
20201102,31.314,31.72999,22.48825,29.56668,0,0,0,0
20201103,32.42374,29.47561,23.74222,31.04578,1,1,0,0
